-elf_5HUVuc,30.000,40.000,"/m/04rlf,/m/05rwpb,/m/064t9,/m/06j6l"
0AV_U7kjgLU,190.000,200.000,"/m/015jpf,/m/04rlf,/m/064t9,/m/09x0r"
21ZXw4B2-5M,30.000,40.000,"/m/03_d0,/m/04rlf,/m/064t9"
2BdYaGuVAKo,30.000,40.000,"/m/026z9,/m/03_d0,/m/04rlf,/m/064t9,/m/0ggx5q"
2zVLWnsArHw,30.000,40.000,"/m/04rlf,/m/064t9,/t/dd00035"
3cEQfNZ_F1w,30.000,40.000,"/m/03_d0,/m/04rlf,/m/064t9"
53UF6F7D284,30.000,40.000,"/m/02cjck,/m/03_d0,/m/04rlf,/m/064t9,/m/0ggx5q"
5JqTvKNXzOw,30.000,40.000,"/m/028sqc,/m/04rlf,/m/05fw6t,/m/064t9"
68DacKw1hlE,80.000,90.000,"/m/04rlf,/m/064t9,/t/dd00035"
6II4JGJDyZo,310.000,320.000,"/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9,/m/07q7njn"
7avMUhHOCR8,30.000,40.000,"/m/0155w,/m/04rlf,/m/064t9"
8AJGu3aOl2w,30.000,40.000,"/m/03_d0,/m/04rlf,/m/05r6t,/m/064t9,/m/0dl5d,/m/0dls3"
8TVgx-oXkWA,10.000,20.000,"/m/04rlf,/m/064t9,/m/06j6l,/m/07p78v5"
9cojCCMSABc,30.000,40.000,"/m/0155w,/m/04rlf,/m/064t9"
A8CJ4YSsUgs,200.000,210.000,"/m/015lz1,/m/018j2,/m/04rlf,/m/04rzd,/m/064t9"
AazEalrc1nE,30.000,40.000,"/m/015lz1,/m/04rlf,/m/064t9,/m/06j6l"
B3WaJ_3M0vw,30.000,40.000,"/m/04rlf,/m/064t9,/m/07s12q4"
B4a0bqOCJdY,40.000,50.000,"/m/04rlf,/m/064t9,/m/074ft,/m/0glt670"
BE75JIPnEas,30.000,40.000,"/m/04rlf,/m/064t9,/m/074ft"
CZmjSr9_TDM,30.000,40.000,"/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9,/m/07p78v5"
CwmUMySSNQc,30.000,40.000,"/m/04rlf,/m/05rwpb,/m/064t9,/m/0dls3"
FGZ0sLt4dXA,80.000,90.000,"/m/02w4v,/m/04rlf,/m/05rwpb,/m/064t9"
G8iTuTi8ywU,90.000,100.000,"/m/0342h,/m/04rlf,/m/064t9,/m/07rwj3x,/m/07sr1lc,/t/dd00126"
GFGwPa9d9XQ,30.000,40.000,"/m/01lyv,/m/04rlf,/m/064t9,/m/06j64v,/m/0gg8l,/t/dd00035"
GJTcbd2bWHQ,30.000,40.000,"/m/04rlf,/m/064t9,/m/06cqb"
He63KV_9Pwg,60.000,70.000,"/m/015lz1,/m/04rlf,/m/064t9,/m/07rwj3x"
IFumVgqOVaM,10.000,20.000,"/m/04rlf,/m/064t9,/m/07rwj3x"
IPO79GrOYjg,270.000,280.000,"/m/015lz1,/m/04rlf,/m/064t9,/m/0xzly"
K9zE9x2ccJk,80.000,90.000,"/m/015lz1,/m/04rlf,/m/064t9,/m/074ft"
MMGAKKhqxKg,160.000,170.000,"/m/04rlf,/m/064t9,/m/07qnq_y"
MVAXHT67Na4,10.000,20.000,"/m/026z9,/m/028sqc,/m/03fwl,/m/04rlf,/m/064t9"
MuwgY_TRTW0,40.000,50.000,"/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9"
OvjmfGU4y_M,190.000,200.000,"/m/015lz1,/m/04rlf,/m/064t9,/m/07pws3f"
T2zoWLYzEpo,310.000,320.000,"/m/04rlf,/m/064t9,/m/07p78v5,/m/09x0r"
VKFgLNBpQK0,30.000,40.000,"/m/015lz1,/m/04rlf,/m/064t9,/m/07brj,/m/0dls3"
YqAsph_ouRM,100.000,110.000,"/m/04rlf,/m/04szw,/m/064t9,/m/07pt_g0,/m/0l14md"
Yr9C_BSH0AE,30.000,40.000,"/m/02x8m,/m/04rlf,/m/064t9,/m/09x0r"
aVNcweinmEM,60.000,70.000,"/m/04rlf,/m/064t9,/m/06j6l"
aek3GoFr5MI,50.000,60.000,"/m/04rlf,/m/064t9,/m/07pws3f"
c-85TtcfVSI,30.000,40.000,"/m/028sqc,/m/02x8m,/m/04rlf,/m/064t9,/m/06rqw"
cabjr3xtcR4,270.000,280.000,"/m/03qtwd,/m/04rlf,/m/064t9,/m/07q4ntr"
cmcuFD79d6k,270.000,280.000,"/m/026z9,/m/04rlf,/m/064t9,/m/0ggx5q"
dHDosntsNho,560.000,570.000,"/m/015lz1,/m/04rlf,/m/064t9,/t/dd00126,/t/dd00127"
hjrl1KHEuqE,150.000,160.000,"/m/0145m,/m/015lz1,/m/04rlf,/m/064t9"
jinEflYgTy8,120.000,130.000,"/m/04rlf,/m/05rwpb,/m/064t9"
m0W_WgQl_8c,30.000,40.000,"/m/04rlf,/m/04szw,/m/05rwpb,/m/064t9"
mB2FAS0DNkk,60.000,70.000,"/m/015lz1,/m/04rlf,/m/064t9,/m/07sr1lc"
mY8nrRXgGXw,30.000,40.000,"/m/02x8m,/m/03lty,/m/04rlf,/m/05r6t,/m/064t9,/m/06j64v,/m/07sbbz2,/m/0dl5d,/m/0dls3"
mjeUSD_pC9I,50.000,60.000,"/m/015lz1,/m/01swy6,/m/028sqc,/m/04rlf,/m/064t9,/m/074ft"
p7VmMa6cpSo,100.000,110.000,"/m/04rlf,/m/064t9,/m/07pws3f,/m/07qsvvw"
pELIBvAnbkY,170.000,180.000,"/m/04rlf,/m/064t9,/m/06j6l,/m/0glt670"
pPY9Hbfa7nU,90.000,100.000,"/m/04rlf,/m/064t9,/m/07c52,/m/09x0r"
pbVYSktQ5jE,30.000,40.000,"/m/025td0t,/m/04rlf,/m/05r6t,/m/064t9,/m/06rqw,/t/dd00031"
qpwjSTEaswI,90.000,100.000,"/m/02lkt,/m/04rlf,/m/064t9,/m/07p78v5,/m/07s72n"
qxWVr67g6yY,200.000,210.000,"/m/015lz1,/m/03qtwd,/m/04rlf,/m/064t9,/m/07pws3f"
rgVDREUH86g,140.000,150.000,"/m/04rlf,/m/064t9,/m/0dl5d"
s1c8RF7lKv0,50.000,60.000,"/m/064t9,/m/07pws3f"
t5fW1-6iXZY,70.000,80.000,"/m/015lz1,/m/015y_n,/m/064t9"
t9aSL2MwEDM,30.000,40.000,"/m/015lz1,/m/04rlf,/m/04wptg,/m/05w3f,/m/064t9,/m/06rqw"
wMHBhCVv--g,190.000,200.000,"/m/04rlf,/m/064t9,/m/07p78v5"
yIFP8fkq8GU,90.000,100.000,"/m/015lz1,/m/028sqc,/m/04rlf,/m/05rwpb,/m/064t9"
yKIE8sIQpJU,30.000,40.000,"/m/016cjb,/m/03_d0,/m/04rlf,/m/064t9"
ykkVTInYctY,120.000,130.000,"/m/04rlf,/m/064t9,/m/07sr1lc,/m/09x0r,/t/dd00127"
